Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C7, C8",0603,6,1uF,CL10B105KP8NNNC
C10,0603,1,220nF,CGA3E3X7R1H224K080AB
"C11, C17, C18, C5",0603,4,100nF,C0603C104K8RACTU
"C12, C13",0603,2,22uF,CL10A226MP8NUNE
"C14, C6",0603,2,10uF,CL10A106KQ8NNNC
"C15, C16",CP_Radial_D22.0mm_P10.00mm_SnapIn,2,100F,TPL-100/22X45F
C19,0603,1,4.7uF,CL10A475KP8NNNC
C9,0603,1,10uF,CL10X106MO8NRNC
"D1, D3, D4",0603,3,GREEN,150060GS75000
D2,0603,1,RED,150060RS75000
"D5, D6",D_SMA,2,D_Schottky,B240A-13-F
J1,AMPHENOL_12402012E212A,1,12402012E212A,12402012E212A
"J10, J11, J12, J14, J15, J16, J3_2, J6, J7",PinHeader_1x02_P2.54mm_Vertical,9,Conn_01x02_Pin,
J13,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12_Pin,
J2,JST_B2B-PH-K-S,1,B2B-PH-K-S(LF)(SN),B2B-PH-K-S(LF)(SN)
J3,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10_Pin,
J4,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
"J5, J9",TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal,2,Screw_Terminal_01x02,TB007-508-02BE
J8,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
L1,0805,1,3.3uH,MLZ2012M3R3ATD69
"L2, L3",DR73-3R3-R_EAT,2,3.3uH,  DR73-3R3-R
Q1,SC-59-pads-swapped,1,Q_NMOS_DGS,DMN1019USN-13
"Q4, Q5",SOT-23,2,BC817,BC817-16LT3G
"R1, R2, R21",0603,3,1k,CRCW06031K00FKEA
"R10, R11, R12, R13, R14, R16, R19, R20, R22, R7, R9",0603,11,10k,RC0603FR-0710KL
R15,0805,1,33.2k,CRCW080533K2FKEA
"R17, R4, R5, R8",0603,4,150,CRCW0603150RFKEAC
R18,0603,1,61.9k,CRCW060361K9FKEA
R3,0603,1,536,ERJ-3EKF5360V
R6,0603,1,49.9k,TNPW060349K9BEEA
"SW1, SW2",SW_TL3305AF260QG,2,TL3305AF260QG,TL3305AF260QG
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02-N4,ESP32-C3-WROOM-02-N4
U2,SON40P200X200X80-11N,1,BQ24040DSQR,BQ24040DSQR
U3,SON65P200X200X80-7N,1,TLV75801PDRVR,TLV75801PDRVR
U4,QFN50P400X400X80-25N,1,CP2102N-A02-GQFN24R,
U5,DFN-12_DE,1,LTC3625EDE_PBF,
U6,XDCR_BMI270,1,BMI270,
U8,TSOT-23-6,1,AP62300TWU,
