Designator,Mid X,Mid Y,Rotation,Layer
C1,143.6522,-104.8816,180.0,top
C2,150.7272,-105.3816,90.0,top
C3,161.785,-94.7928,0.0,top
C4,162.86,-87.7928,90.0,top
C5,188.3787,-76.2842,180.0,top
C6,188.3287,-79.1342,180.0,top
C7,187.5287,-82.7842,90.0,top
C8,178.7287,-81.0092,90.0,top
D1,147.4772,-111.3816,180.0,top
D2,152.7272,-111.3816,180.0,top
D3,164.96,-83.0028,90.0,top
J1,142.2652,-92.7856,270.0,top
J2,161.4772,-113.1316,0.0,top
J3,182.5992,-113.792,270.0,top
R1,150.0002,-90.5256,180.0,top
R10,175.5037,-72.0092,0.0,top
R11,180.4537,-72.6592,270.0,top
R12,186.05,-107.0,270.0,top
R2,149.7752,-94.5256,0.0,top
R3,143.6522,-106.8816,180.0,top
R4,149.9772,-114.8816,180.0,top
R5,153.2272,-107.1316,270.0,top
R6,160.81,-87.7928,90.0,top
R7,157.71,-87.8428,270.0,top
R8,164.91,-87.7928,90.0,top
R9,184.1287,-73.5092,0.0,top
SW1,183.7787,-79.9592,0.0,top
SW2,174.9162,-78.2592,0.0,top
U1,183.0,-95.25,270.0,top
U2,147.9622,-107.0816,0.0,top
U3,160.16,-92.0178,270.0,top
